wave,dimension,mean_grp1,mean_grp2,diff,t_stat,p_value,n_grp1,n_grp2,sig
1,manager_effectiveness,3.393624060150376,3.3616181606519207,0.03200589949845556,0.8424633657472674,0.3997884601571591,665,7731,False
1,psychological_safety,3.3733383458646617,3.386458414176691,-0.013120068312029165,-0.3588363577390068,0.7198146081550023,665,7731,False
1,recognition,3.3666917293233087,3.3940512223515715,-0.027359493028262794,-0.7476829796612655,0.4548761006117842,665,7731,False
1,career_development,3.3736090225563906,3.3859927564351313,-0.0123837338787407,-0.3244674421324949,0.7456723510813887,665,7731,False
1,senior_leadership_trust,3.3681804511278193,3.3935247704048637,-0.02534431927704439,-0.685200618592504,0.4934215096719077,665,7731,False
1,purpose_meaning,3.3634586466165413,3.3930694606131167,-0.02961081399657539,-0.8106932271212274,0.41778800102312286,665,7731,False
1,wellbeing,3.3628120300751885,3.40566291553486,-0.04285088545967142,-1.1474559669339792,0.2515473662232429,665,7731,False
1,confidence_in_role_future,3.3766015037593977,3.40414952787479,-0.027548024115392256,-0.7294109601039019,0.4659714383124125,665,7731,False
2,manager_effectiveness,3.151628721541156,3.3585988645971736,-0.2069701430560178,-4.987902475440871,7.840629463410022e-07,571,8279,True
2,psychological_safety,3.393765323992995,3.381075009059065,0.012690314933929692,0.3033595051467074,0.7617132586484661,571,8279,False
2,recognition,3.3316112084063048,3.384099528928615,-0.05248832052231034,-1.293846927723376,0.19617589195183996,571,8279,False
2,career_development,3.333747810858144,3.3682642831259813,-0.03451647226783727,-0.836749313373979,0.40304138318681404,571,8279,False
2,senior_leadership_trust,3.3045359019264446,3.366526150501268,-0.06199024857482316,-1.460351532198703,0.14468134270854302,571,8279,False
2,purpose_meaning,3.344676007005254,3.3719470950597903,-0.027271088054536374,-0.6512778942834081,0.5150977377779453,571,8279,False
2,wellbeing,3.308721541155867,3.3824519869549463,-0.07373044579907928,-1.7652016750215394,0.07800124319056154,571,8279,False
2,confidence_in_role_future,3.355709281961471,3.400712646454886,-0.04500336449341491,-1.136670130939908,0.25609144150003565,571,8279,False
3,manager_effectiveness,3.311996124031008,3.367867011119847,-0.05587088708883936,-1.2713155369798554,0.20412868874584275,516,8903,False
3,psychological_safety,3.2723062015503874,3.367581714028979,-0.09527551247859156,-2.20921489395132,0.02755143848269245,516,8903,True
3,recognition,3.18218992248062,3.3743153993036055,-0.19212547682298542,-4.33736484976241,1.702640246968229e-05,516,8903,True
3,career_development,3.2887596899224807,3.3794069414803998,-0.09064725155791908,-2.0877585191729184,0.03725894999472148,516,8903,True
3,senior_leadership_trust,3.280581395348837,3.3443153993036057,-0.06373400395476869,-1.4585456504230685,0.14523561764491483,516,8903,False
3,purpose_meaning,3.3053100775193798,3.347254857913063,-0.041944780393683434,-0.9483856088263073,0.3433320645720743,516,8903,False
3,wellbeing,3.280910852713178,3.368382567673818,-0.08747171496064032,-1.990566778887174,0.04700127685877752,516,8903,True
3,confidence_in_role_future,3.3485658914728686,3.3883533640345953,-0.039787472561726656,-0.9464018612136176,0.34433726892327887,516,8903,False
4,manager_effectiveness,3.392814207650273,3.3537873531057634,0.039026854544509604,0.7260801951079577,0.4682206080545016,366,8935,False
4,psychological_safety,3.406748633879782,3.362731952993845,0.04401668088593702,0.8713063631869535,0.3841129852564322,366,8935,False
4,recognition,3.2376502732240438,3.3716452154448797,-0.13399494222083597,-2.557434891667219,0.010917528311568565,366,8935,True
4,career_development,3.2955191256830605,3.3646659205372127,-0.0691467948541522,-1.329220948825292,0.18454222886006758,366,8935,False
4,senior_leadership_trust,3.2344262295081974,3.3468808058198096,-0.11245457631161226,-2.1271104981453433,0.03403080466409505,366,8935,True
4,purpose_meaning,3.230573770491803,3.3341813094571906,-0.10360753896538766,-1.9105074736256493,0.05679516877295431,366,8935,False
4,wellbeing,3.3321584699453544,3.3724499160604364,-0.040291446115082064,-0.7303403913287516,0.4656190638118045,366,8935,False
4,confidence_in_role_future,3.3231967213114753,3.368170117515389,-0.04497339620391383,-0.8753065323366451,0.38193815820847743,366,8935,False
5,manager_effectiveness,3.28275641025641,3.3675712050078244,-0.08481479475141418,-1.0499531163024576,0.29532391073702474,156,9585,False
5,psychological_safety,3.4183974358974356,3.3626019822639543,0.05579545363348126,0.6729339643827442,0.5019629688427167,156,9585,False
5,recognition,3.250064102564103,3.3767250912884714,-0.12666098872436837,-1.6498913092498033,0.10092411602044628,156,9585,False
5,career_development,3.3444871794871793,3.3696431924882626,-0.025156013001083277,-0.3232521090570541,0.7469262003744053,156,9585,False
5,senior_leadership_trust,3.1423076923076922,3.341090245174752,-0.1987825528670597,-2.5527776974901313,0.011621206279812097,156,9585,True
5,purpose_meaning,3.0764102564102562,3.3202681272822114,-0.2438578708719552,-2.823264726435195,0.005360971477706692,156,9585,True
5,wellbeing,3.164294871794872,3.3677089201877934,-0.20341404839292165,-2.3327109342158163,0.020915438730897344,156,9585,True
5,confidence_in_role_future,3.224807692307692,3.356812728221179,-0.13200503591348722,-1.7320598426819018,0.08518646068126796,156,9585,False
