employee_id,mgr_vol_loo,promo_rate,obs_days
E00001,0.0,0.0,730
E00003,0.0,0.6666666666666666,730
E00004,0.0,0.0,730
E00005,0.0,0.0,358
E00006,0.0,0.5,472
E00007,0.16666666666666666,0.0,730
E00008,0.0,0.0,49
E00009,0.3333333333333333,0.0,730
E00010,0.125,0.0,730
E00011,0.0,0.0,730
E00012,0.0,0.0,730
E00013,0.0,0.0,730
E00014,0.0,0.0,730
E00015,0.0,0.0,730
E00016,0.0,0.0,730
E00017,0.0,0.0,730
E00018,0.0,0.0,730
E00019,0.25,0.3333333333333333,730
E00020,0.25,0.3333333333333333,730
E00021,0.0,0.0,144
E00022,0.0,0.0,730
E00023,0.0,0.0,550
E00024,,0.3333333333333333,730
E00025,0.0,0.6666666666666666,730
E00026,0.0,0.3333333333333333,730
E00027,0.0,0.5,485
E00029,0.0,0.3333333333333333,730
E00030,0.125,0.0,730
E00031,0.05,0.3333333333333333,730
E00033,0.0,0.0,730
E00034,0.0,0.6666666666666666,730
E00035,0.0,0.3333333333333333,730
E00036,0.1,0.0,637
E00037,0.0,0.3333333333333333,730
E00038,0.0,0.3333333333333333,730
E00039,0.0,0.3333333333333333,730
E00040,0.0,0.0,730
E00041,0.25,0.3333333333333333,730
E00042,0.0,0.3333333333333333,730
E00043,0.0,0.0,730
E00044,0.0,0.0,730
E00045,0.0,0.3333333333333333,730
E00046,0.0,0.0,484
E00049,0.0,0.0,730
E00050,0.0,0.0,730
E00051,0.0,0.0,730
E00052,0.0,0.0,730
E00053,0.0,0.0,121
E00054,0.16666666666666666,0.0,730
E00055,,0.0,730
E00057,0.0,0.0,730
E00058,0.0,0.0,730
E00059,0.0,0.0,730
E00060,0.0,0.3333333333333333,730
E00061,0.0,0.0,730
E00064,0.25,0.0,730
E00065,0.0,0.0,730
E00066,0.0,0.0,730
E00067,0.1,0.0,730
E00068,0.0,1.0,730
E00069,0.0,0.0,730
E00070,0.0,0.0,730
E00071,0.5,0.0,273
E00072,0.0,0.0,503
E00073,0.0,0.0,730
E00074,0.0,0.0,606
E00075,0.0,0.0,730
E00076,0.034482758620689655,0.0,730
E00077,0.14285714285714285,0.0,242
E00078,0.0,0.0,179
E00079,0.0,0.3333333333333333,730
E00080,0.0,0.3333333333333333,730
E00081,0.1111111111111111,0.0,730
E00082,0.0,0.0,438
E00083,0.0,0.0,730
E00084,0.0,0.0,730
E00085,0.0,0.0,730
E00086,0.375,0.3333333333333333,730
E00087,0.0,0.0,730
E00088,0.0,0.0,730
E00089,0.0,0.3333333333333333,730
E00090,0.0,0.0,730
E00091,0.5,0.0,730
E00092,0.0,0.3333333333333333,730
E00093,0.0,0.3333333333333333,730
E00094,0.0,0.0,730
E00095,0.125,0.0,356
E00096,0.0,0.3333333333333333,730
E00097,0.0,0.3333333333333333,730
E00098,0.0,1.0,730
E00099,0.25,0.0,270
E00100,0.0,0.3333333333333333,730
E00101,0.25,0.0,730
E00102,,0.3333333333333333,534
E00103,0.0,0.3333333333333333,730
E00104,0.0,0.6666666666666666,730
E00105,0.0,0.3333333333333333,730
E00106,,0.0,151
E00107,0.0,0.3333333333333333,730
E00108,0.0,0.0,730
E00109,0.0,0.3333333333333333,730
E00110,0.0,0.3333333333333333,730
E00111,0.14285714285714285,0.0,730
E00113,0.0,0.0,730
E00114,0.125,0.0,730
E00115,0.0,0.0,74
E00117,0.2222222222222222,0.0,730
E00118,0.06666666666666667,0.0,730
E00119,0.0,0.0,730
E00120,,0.3333333333333333,730
E00121,0.14285714285714285,0.0,730
E00122,0.0,0.0,730
E00123,0.0,0.3333333333333333,730
E00124,0.0,0.3333333333333333,730
E00126,0.0,0.0,730
E00127,0.25,0.0,730
E00128,0.3333333333333333,0.0,730
E00129,0.0,0.0,730
E00130,0.0,0.3333333333333333,730
E00132,0.0,0.0,730
E00133,0.0,0.6666666666666666,730
E00134,0.1111111111111111,0.0,730
E00135,0.0,0.0,730
E00136,0.0,0.0,730
E00137,0.125,0.0,730
E00138,0.08695652173913043,0.0,730
E00139,0.2,0.0,730
E00140,0.0,0.0,730
E00141,0.0,0.3333333333333333,730
E00143,0.0,0.0,730
E00145,0.0,0.0,730
E00146,0.1111111111111111,0.0,179
E00148,0.0,0.3333333333333333,730
E00149,0.07692307692307693,0.0,455
E00150,0.16666666666666666,0.0,730
E00151,0.0,0.3333333333333333,730
E00152,0.1,0.0,730
E00153,0.0,0.3333333333333333,730
E00155,0.0,0.0,730
E00156,1.0,0.0,74
E00157,0.16666666666666666,0.3333333333333333,730
E00158,0.0,0.0,730
E00159,,0.0,730
E00160,0.0,0.0,398
E00161,0.2222222222222222,0.3333333333333333,730
E00163,0.0,0.3333333333333333,730
E00164,0.0,0.3333333333333333,730
E00165,,0.0,730
E00166,0.25,0.0,730
E00167,0.0,0.3333333333333333,730
E00168,,0.0,730
E00169,0.0,0.6666666666666666,730
E00170,0.0,0.0,730
E00171,0.0,0.3333333333333333,730
E00172,0.0,0.0,730
E00173,0.0,0.3333333333333333,730
E00174,0.0,0.0,730
E00175,0.16666666666666666,0.3333333333333333,730
E00176,0.05,0.0,730
E00177,0.0,0.3333333333333333,730
E00178,0.0,0.0,730
E00179,0.125,0.3333333333333333,730
E00180,0.25,0.3333333333333333,730
E00181,0.0,0.3333333333333333,730
E00182,0.0,0.0,730
E00183,0.0,0.3333333333333333,730
E00184,0.0,0.0,730
E00185,0.0,0.0,730
E00186,0.0,0.0,730
E00187,0.1,0.3333333333333333,730
E00188,0.5,0.0,730
E00190,0.0,0.0,120
E00191,0.0,0.0,730
E00192,0.0,0.0,730
E00193,0.0,0.0,730
E00194,0.0,0.3333333333333333,730
E00195,0.0,0.0,730
E00196,0.0,0.3333333333333333,730
E00197,0.0,0.0,730
E00198,0.0,0.0,730
E00199,0.0,0.6666666666666666,730
E00200,0.4,0.0,587
E00201,0.0,0.0,730
E00202,0.25,0.0,730
E00204,0.2,0.3333333333333333,730
E00205,0.0,0.3333333333333333,730
E00206,0.0,0.0,535
E00207,0.0,0.0,304
E00208,0.0,0.0,730
E00209,0.0,0.6666666666666666,730
E00210,0.0,0.0,487
E00211,0.0,0.5,424
E00212,0.15384615384615385,0.0,730
E00213,0.0,0.0,730
E00214,0.0,0.0,730
E00215,0.0,0.0,730
E00216,0.0,0.0,730
E00217,0.0,0.6666666666666666,730
E00218,0.0,0.6666666666666666,730
E00219,0.125,0.3333333333333333,730
E00220,0.0,0.0,730
E00221,0.0,0.3333333333333333,730
E00222,0.0,0.3333333333333333,730
E00223,0.1,0.3333333333333333,730
E00224,0.0,0.0,730
E00225,0.09090909090909091,0.0,730
E00227,0.0,0.0,730
E00228,0.0,0.0,730
E00230,0.0,0.3333333333333333,730
E00231,0.2,0.0,299
E00232,0.0,0.0,730
E00233,0.0,0.6666666666666666,730
E00234,0.125,0.3333333333333333,730
E00235,0.0,0.3333333333333333,730
E00236,0.25,0.0,730
E00237,0.0,0.3333333333333333,730
E00238,0.0,0.3333333333333333,730
E00239,0.0,0.0,498
E00240,0.0,0.0,730
E00241,0.0,0.0,730
E00242,0.0,0.0,730
E00244,0.0,0.3333333333333333,730
E00245,0.0,0.0,730
E00247,0.0,0.3333333333333333,730
E00248,0.0,0.0,730
E00249,0.15384615384615385,0.0,730
E00250,0.0,0.0,730
E00251,0.0,0.3333333333333333,730
E00252,0.0,0.0,730
E00253,0.0,0.3333333333333333,730
E00254,0.25,0.0,730
E00255,0.0,0.0,730
E00257,0.25,0.6666666666666666,730
E00258,0.25,0.0,730
E00259,0.0,0.0,730
E00260,0.0,0.3333333333333333,730
E00261,0.0,0.3333333333333333,730
E00262,0.0,0.3333333333333333,730
E00264,0.14285714285714285,0.0,730
E00265,,0.0,730
E00266,0.0,0.0,730
E00267,0.1111111111111111,0.0,730
E00268,0.0,0.0,730
E00270,0.0,0.0,730
E00271,0.25,0.0,730
E00272,0.0,0.0,730
E00273,0.0,0.0,84
E00274,0.0,0.0,730
E00275,0.0,0.0,730
E00276,0.0,0.0,151
E00277,0.0,0.3333333333333333,730
E00279,0.0,0.3333333333333333,730
E00280,0.0,0.0,730
E00281,0.0,0.0,730
E00282,0.1,0.0,730
E00283,0.0,0.0,730
E00284,0.06666666666666667,0.0,613
E00285,0.0,0.0,730
E00286,0.0,0.6666666666666666,730
E00287,0.125,0.0,730
E00288,0.0,0.3333333333333333,730
E00289,0.0,0.3333333333333333,730
E00290,0.027777777777777776,0.0,730
E00291,0.09090909090909091,0.0,730
E00293,0.0,0.0,730
E00294,0.0,0.0,389
E00295,0.0,0.3333333333333333,730
E00296,0.0,0.3333333333333333,730
E00298,0.18181818181818182,0.0,730
E00299,0.0,0.0,730
E00300,0.0,0.0,730
E00301,0.0,0.3333333333333333,730
E00302,0.13333333333333333,0.0,730
E00303,0.0,0.0,730
E00304,0.0,0.0,730
E00305,0.0,0.0,730
E00306,0.2,0.0,730
E00307,,0.0,730
E00308,0.0,0.0,730
E00309,0.0,0.0,88
E00310,0.125,0.3333333333333333,730
E00311,0.0,0.0,730
E00312,0.0,0.0,730
E00313,0.0,0.0,730
E00314,,0.0,730
E00315,0.0,0.0,730
E00316,0.0,0.0,730
E00317,0.0,0.0,730
E00318,0.0,0.3333333333333333,730
E00320,0.125,0.3333333333333333,730
E00321,0.0,0.3333333333333333,730
E00322,0.0,0.3333333333333333,730
E00323,0.0,0.3333333333333333,730
E00325,0.0,1.0,59
E00326,0.0,0.0,730
E00327,0.2,0.0,730
E00328,0.0,0.0,730
E00329,0.0,0.6666666666666666,730
E00330,0.0,0.3333333333333333,730
E00331,0.0,1.0,730
E00332,0.0,0.3333333333333333,730
E00333,0.09090909090909091,1.0,730
E00334,0.0,0.0,730
E00335,0.0,0.0,730
E00336,0.14285714285714285,0.3333333333333333,730
E00337,0.0,0.0,730
E00338,0.0,0.0,730
E00339,0.0,0.0,730
E00340,0.0,0.0,730
E00341,0.0,0.0,730
E00342,0.0,0.0,730
E00343,0.0,0.3333333333333333,730
E00344,0.0,0.0,730
E00345,,0.0,730
E00347,0.0,0.3333333333333333,730
E00348,0.0,0.0,730
E00349,0.125,0.3333333333333333,730
E00350,0.16666666666666666,0.6666666666666666,730
E00351,0.0,0.3333333333333333,730
E00352,0.0,0.0,730
E00353,0.1,0.0,730
E00354,0.0,0.0,730
E00355,0.2,0.0,730
E00356,0.0,0.0,730
E00357,0.0,0.0,730
E00358,0.0,0.3333333333333333,730
E00359,0.0,0.0,730
E00360,,0.0,730
E00361,0.0,0.0,730
E00362,0.25,0.6666666666666666,730
E00363,0.25,0.3333333333333333,730
E00364,0.0,0.0,730
E00366,0.0,0.0,730
E00367,0.0,0.0,730
E00368,0.05263157894736842,0.0,730
E00369,0.0,0.0,730
E00370,0.0,0.3333333333333333,730
E00372,0.0,0.0,730
E00373,0.0,0.0,730
E00375,0.0,0.0,730
E00376,0.0,0.0,730
E00378,0.0,0.0,730
E00379,,0.0,730
E00380,0.25,0.0,730
E00381,0.0,0.0,730
E00382,0.0,0.0,730
E00383,0.25,0.3333333333333333,730
E00384,,0.0,730
E00385,0.0,0.3333333333333333,730
E00387,0.15384615384615385,0.0,730
E00388,0.16666666666666666,0.0,730
E00389,0.0,0.3333333333333333,730
E00390,0.0,0.0,730
E00391,0.0,0.0,730
E00392,0.0,0.0,730
