dept_A,dept_B,rate_A,rate_B,z_stat,p_raw,p_holm,sig_holm_0.05
Retail Banking,Risk & Compliance,0.0018214936247723133,0.004268943436499467,-3.375940044966686,0.0007356394804007637,0.015448429088416038,True
Corporate Operations,Retail Banking,0.004332477535301669,0.0018214936247723133,3.224621124329206,0.0012613948379964404,0.025227896759928807,True
Risk & Compliance,Technology,0.004268943436499467,0.00250901677904971,2.2169322843293555,0.02662771921645921,0.505926665112725,False
Corporate Operations,Technology,0.004332477535301669,0.00250901677904971,2.119742908812582,0.03402773227356791,0.6124991809242224,False
Corporate Operations,Risk & Compliance,0.004332477535301669,0.004268943436499467,0.058153550258942185,0.9536263195901862,1.0,False
Corporate Operations,Wealth Management,0.004332477535301669,0.0027998133457769483,1.448769694712591,0.14740190966231745,1.0,False
Executive Leadership,Insurance,0.0010683760683760685,0.003095558546433378,-1.0928068069121815,0.2744786323451379,1.0,False
Corporate Operations,Insurance,0.004332477535301669,0.003095558546433378,1.192505948508363,0.2330629196991426,1.0,False
Executive Leadership,Retail Banking,0.0010683760683760685,0.0018214936247723133,-0.5298532862601728,0.5962136565800971,1.0,False
Executive Leadership,Risk & Compliance,0.0010683760683760685,0.004268943436499467,-1.4812021709927075,0.1385527078782386,1.0,False
Executive Leadership,Wealth Management,0.0010683760683760685,0.0027998133457769483,-0.9756645238476818,0.32923073803245384,1.0,False
Executive Leadership,Technology,0.0010683760683760685,0.00250901677904971,-0.8675288240549797,0.3856523257044059,1.0,False
Insurance,Retail Banking,0.003095558546433378,0.0018214936247723133,1.8591515076379888,0.06300566609155119,1.0,False
Insurance,Risk & Compliance,0.003095558546433378,0.004268943436499467,-1.2114600420526753,0.22571913988833703,1.0,False
Insurance,Technology,0.003095558546433378,0.00250901677904971,0.7709526946916012,0.44073497150482877,1.0,False
Corporate Operations,Executive Leadership,0.004332477535301669,0.0010683760683760685,1.492746886812321,0.13550345508252526,1.0,False
Insurance,Wealth Management,0.003095558546433378,0.0027998133457769483,0.31969456292724013,0.7491998818142591,1.0,False
Retail Banking,Technology,0.0018214936247723133,0.00250901677904971,-1.2061386366271805,0.2277640395361341,1.0,False
Retail Banking,Wealth Management,0.0018214936247723133,0.0027998133457769483,-1.4029373061490515,0.16063553498022864,1.0,False
Risk & Compliance,Wealth Management,0.004268943436499467,0.0027998133457769483,1.4747437449037404,0.14028145047613985,1.0,False
Technology,Wealth Management,0.00250901677904971,0.0027998133457769483,-0.3728772778593851,0.7092397840518068,1.0,False
