pop,var,kind,n,stat,p,effect,effect_name,detail,spread,hi_group,hi_rate,lo_group,lo_rate,q,sig
A_hipo_voluntary,n_reviews,num,1195,-17.018351454981115,2.7989636200884226e-39,-1.737830724661354,Hedges_g,MWU p=9.31e-66,1.596 vs 2.720,event,1.596026490066225,non-event,2.7203065134099615,4.814217426552087e-37,***
A_hipo_voluntary,mgr_team_vol_rate,num,1210,15.726844376324664,5.493410157759958e-34,2.616550188590773,Hedges_g,MWU p=2.39e-95,0.396 vs 0.047,event,0.39579677669860774,non-event,0.047238157215660964,4.382970204723022e-32,***
A_hipo_voluntary,pathway,cat,181,46.868213172279475,8.129727375985225e-14,0.5088618715002504,CramersV,,60.5%-100.0%,pull,1.0,push,0.6052631578947368,1.9975901552420837e-12,***
A_hipo_voluntary,n_promo_rec,num,1195,-7.180741538225538,9.398010654053327e-12,-0.5123531495613447,Hedges_g,MWU p=1.13e-09,0.305 vs 0.658,event,0.304635761589404,non-event,0.6580459770114943,2.0205722906214654e-10,***
A_hipo_voluntary,ever_promo_rec,cat,1195,36.21229363660818,6.464699872031399e-10,0.17407807039171797,CramersV,OR=0.32 [0.22-0.47],6.7%-18.5%,False,0.18469217970049917,True,0.06734006734006734,1.1119283779894007e-08,***
A_hipo_voluntary,notice_period_served,cat,181,34.94515629387906,1.4833238821591657e-08,0.4393940848994621,CramersV,OR=11.76 [4.82-28.67],54.3%-93.3%,True,0.9333333333333333,False,0.5434782608695652,2.1260975644281375e-07,***
A_hipo_voluntary,mgr_departed,cat,1210,16.69175398195224,0.00047025335440188486,0.11745142826553205,CramersV,OR=10.91 [3.04-39.14],12.1%-60.0%,1,0.6,0,0.12083333333333333,0.0038515989027202,***
A_hipo_voluntary,department,cat,1210,21.579235405067593,0.0014428173783081297,0.1335442954497245,CramersV,,7.0%-19.1%,Corporate Operations,0.19083969465648856,Retail Banking,0.07006369426751592,0.010789764742130363,**
A_hipo_voluntary,mean_rating_num,num,1195,-2.5727800363419666,0.010948880167084903,-0.30616939914341357,Hedges_g,MWU p=1.20e-02,3.713 vs 3.888,event,3.7130242825607067,non-event,3.887611749680715,0.06974842180513345,*
A_hipo_voluntary,ever_nonresponder,cat,1121,5.241676153965004,0.020163781892766817,0.06838050226538928,CramersV,OR=0.62 [0.42-0.92],7.9%-12.1%,0.0,0.12133072407045009,1.0,0.07868852459016394,0.11560568285186308,
A_hipo_voluntary,top_performer,cat,1195,4.3902286790391205,0.03333890451037673,0.06061214012536325,CramersV,OR=0.68 [0.48-0.96],11.2%-15.6%,0.0,0.1561712846347607,1.0,0.11152882205513784,0.15928587710513326,
A_hipo_voluntary,last_promo_rec,cat,1195,4.125031244589411,0.039299684662157996,0.05875294878802433,CramersV,OR=0.61 [0.39-0.96],8.9%-13.8%,False,0.1377049180327869,True,0.08928571428571429,0.1826904259970588,
A_hipo_voluntary,mgr_span,num,1210,-2.0513494255334437,0.041299731573143914,-0.13842348430167994,Hedges_g,MWU p=4.80e-01,4.695 vs 5.329,event,4.695364238410596,non-event,5.328611898016997,0.18693562712054612,
A_hipo_voluntary,role_level,cat,1210,11.284892982295844,0.046015002489940095,0.09657306993467762,CramersV,,0.0%-19.2%,3,0.192,5,0.0,0.202937959699223,
